date,title,where,link
2020.01.09.,中 집단 폐렴은 “신종 코로나바이러스”… 사스·메르스와 달라,국민일보언론사,http://news.kmib.co.kr/article/view.asp?arcid=0014113637&code=61131111&cp=nv
2020.01.09.,중국 집단폐렴 원인 ‘사스·메르스 아닌 신종 코로나바이러스’,한겨레언론사,http://www.hani.co.kr/arti/international/china/923821.html
2020.01.09.,"중국 ""우한 집단 폐렴, 사스 아닌 신종 코로나바이러스""",TBS,http://www.tbs.seoul.kr/news/bunya.do?method=daum_html2&typ_800=4&seq_800=10372661
2020.01.09.,중국 폐렴 정체 잠정 판정 '신종 코로나 바이러스',세계일보,http://www.segye.com/content/html/2020/01/09/20200109513444.html?OutUrl=naver
2020.01.09.,[그래픽] 신종 코로나바이러스 의심환자 현황,연합뉴스,http://yna.kr/GYH20200109001200044?did=1363m
2020.01.09.,"中 ""우한 폐렴은 신종 코로나 바이러스""",MBC,https://imnews.imbc.com/replay/2020/nw1700/article/5649217_32510.html
2020.01.09.,"중국 폐렴, 신종 코로나바이러스 잠정 판정… ""추가 조사 필요""",뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=944837
2020.01.09.,"중국 폐렴 ""사스 아닌 신종 코로나바이러스"" 잠정 판정",한국경제TV언론사,http://news.wowtv.co.kr/NewsCenter/News/Read?articleId=A202001090603&t=NN
2020.01.09.,"변이 많은 '코로나바이러스'…""신종은 사람 간 전파력 낮아""",연합뉴스,http://yna.kr/AKR20200109156800017?did=1195m
2020.01.09.,"중국 우한 폐렴, 초보 분석 결과 `신종 코로나바이러스`로 잠정 판정",매일경제,http://news.mk.co.kr/newsRead.php?no=30965&year=2020
2020.01.09.,"코로나 바이러스, ""중증 호흡기질환 우려""…'방역의 악몽' 재현되나",이투데이,http://www.etoday.co.kr/news/section/newsview.php?idxno=1843526
2020.01.09.,"中, 우한 폐렴 ""신종 코로나바이러스"" 잠정 판정..인체간 전파 가능성은",글로벌경제,http://www.getnews.co.kr/view.php?ud=20200109175326782941d0c69529_16
2020.01.09.,'코로나 바이러스' 대중들 집중 관심…백신은 개발됐나?,뉴스컬처,http://nc.asiae.co.kr/view.htm?idxno=2020010917573224141
2020.01.09.,"韓 '안전지대' 아니다…코로나 바이러스 ""호흡기 치명적"" 우려 여전",경남매일신문,http://www.gnmaeil.com/news/articleView.html?idxno=438625
2020.01.09.,"中 원인불명 폐렴, ‘신종 코로나바이러스’ 잠정 판정",서울경제언론사,https://www.sedaily.com/NewsView/1YXKWUFJ8J
2020.01.09.,"'중국 우한 59명 집단 폐렴'..신화통신 ""원인은 신종 코로나바이러스""",뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=1056679
2020.01.09.,"中 폐렴, 사스 아닌 신종 코로나 바이러스로 추정",한스경제,http://www.sporbiz.co.kr/news/articleView.html?idxno=407446
2020.01.09.,정체불명 중국 폐렴… 사스와 유사한 ‘코로나 바이러스’ 판명,뉴데일리,http://www.newdaily.co.kr/site/data/html/2020/01/09/2020010900205.html
2020.01.09.,"[中 폐렴확산] 원인은 신종 코로나 바이러스…""사람간 전파 없다면 확산 위험 낮아""",동아사이언스,http://www.dongascience.com/news/view/33486
2020.01.09.,신종 '코로나 바이러스'가 中 원인불명 폐렴의 원인?,YTN사이언스,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=0017&key=202001091613553144
2020.01.09.,중국서 발생한 원인 불명 집단 폐렴 ‘신종 코로나바이러스’ 잠정 판정,이코노믹리뷰,http://www.econovill.com/news/articleView.html?idxno=382345
2020.01.09.,中 집단 폐렴은 '신종 코로나바이러스',파이낸셜뉴스,http://www.fnnews.com/news/202001091824567323
2020.01.09.,"中원인불명 폐렴, '신종 코로나바이러스' 잠정 판정",연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20200109014200038/?did=1825m
2020.01.09.,사스·메르스 일으킨 '코로나 바이러스'… 사람 간 전파 가능성은?,부산일보,http://www.busan.com/view/busan/view.php?code=2020010918055114881
2020.01.09.,"중 '원인불명 폐렴'…""사스 아닌 신종 코로나"" 잠정결론",JTBC언론사,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11928800
2020.01.09.,원인불명 '중국 폐렴' 신종 '코로나 바이러스'로 판명... 치사율은 불투명,글로벌경제,http://www.getnews.co.kr/view.php?ud=202001091837185061fab1982f6a_16
2020.01.09.,"'코로나 바이러스', 우리나라도 안전하지 않을 듯…종류 다양",헤럴드경제,http://news.heraldcorp.com/culture/view.php?ud=202001091844209492025_1
2020.01.09.,"中, 우한 폐렴 ""사스 아닌 신종 코로나바이러스"" 잠정 판정(종합2보)",연합뉴스,http://yna.kr/AKR20200109122451083?did=1195m
2020.01.09.,'中폐렴 원인 지목' 코로나 바이러스 대체 무엇?,머니S,http://moneys.mt.co.kr/news/mwView.php?no=2020010918458054179
2020.01.09.,"종류 다양해, 우리나라도 방심은 금물…'코로나 바이러스'",녹색경제신문,http://www.greened.kr/news/articleView.html?idxno=232007
2020.01.09.,"中 원인불명 폐렴, 조사 결과 신종 코로나 바이러스 판정",중부일보,http://www.joongboo.com/news/articleView.html?idxno=363391842
2020.01.09.,"中, 우한 폐렴은 '신종 코로나바이러스'로 잠정 판정…""백신 개발 수년 걸릴수도""",한국경제TV,http://news.wowtv.co.kr/NewsCenter/News/Read?articleId=A202001090636&t=NN
2020.01.09.,중국 ‘신종 코로나 바이러스’ 주장…비밀주의 여전,KBS언론사,http://news.kbs.co.kr/news/view.do?ncd=4359210&ref=A
2020.01.09.,중국 '코로나 바이러스' 우려할 상황 아니다? 백신개발 언제?,충청리뷰,http://www.ccreview.co.kr/news/articleView.html?idxno=235709
2020.01.09.,"中, 원인불명 폐렴 ‘신종 코로나 바이러스’ 잠정 결론",세계일보언론사,http://www.segye.com/content/html/2020/01/09/20200109514261.html?OutUrl=naver
2020.01.09.,"中, 폐렴 원인 잠정 판정… “신종 코로나바이러스” 인간 전염 안된다",브레이크뉴스,http://www.breaknews.com/703599
2020.01.09.,"""중국 폐렴, 신종 코로나바이러스""…국내 증상자 호전",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005598055&plink=ORI&cooper=NAVER
2020.01.09.,"中 우한 폐렴, 신종 '코로나 바이러스'로 잠정 판정...추가 조사 필요",싱글리스트,http://www.slist.kr/news/articleView.html?idxno=126799
2020.01.09.,'신종 코로나' 핵심 정보 숨기는 中…사람 간 전파되나,SBS언론사,https://news.sbs.co.kr/news/endPage.do?news_id=N1005598056&plink=ORI&cooper=NAVER
2020.01.09.,"중국 원인불명 폐렴, '신종 코로나' 잠정결론…백신 없어",JTBC언론사,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11928784
2020.01.09.,중국 집단폐렴 원인은 '신종 코로나바이러스'…사스와 달라,머니투데이언론사,http://news.mt.co.kr/mtview.php?no=2020010920085359705
2020.01.09.,"中, 우한폐렴 ""사스 아닌 신종코로나바이러스""",OBS,http://www.obsnews.co.kr/news/articleView.html?idxno=1196335
2020.01.09.,"국내서도 '중국 폐렴'…中 ""신종 코로나바이러스""",연합뉴스TV언론사,http://www.yonhapnewstv.co.kr/MYH20200109017600038/?did=1825m
2020.01.09.,"중국, 우한 폐렴 ""사스 아닌 신종 코로나바이러스""",라디오코리아,http://www.radiokorea.com/news/article.php?uid=331879
